Sıra Numara     Final
1	1412705063	12
2	1612705065	G
3	1612706009	26
4	1612706013	46
5	1612706015	42
6	1622705068	G
7	1712705007	G
8	1712705009	G
9	1712705011	8
10	1712705013	G
11	1712705019	9
12	1712705021	11
13	1712705033	G
14	1712705037	G
15	1712705039	8
16	1712705045	G
17	1712706001	11
18	1712706003	47
19	1712706005	22
20	1712706011	52
21	1712706015	16
22	1722705063	G
23	1812705001	35
24	1812705003	50
25	1812705005	8
26	1812705007	8
27	1812705009	16
28	1812705011	16
29	1812705013	G
30	1812705015	33
31	1812705017	46
32	1812705019	G
33	1812705021	16
34	1812705023	16
35	1812705025	24
36	1812705027	8
37	1812705029	8
38	1812705031	9
39	1812705033	27
40	1812705035	31
41	1812705037	14
42	1812705039	29
43	1812705041	18
44	1812705043	39
45	1812705045	8
46	1812705047	24
47	1812705049	5
48	1812705051	15
49	1812705053	24
50	1812705055	11
51	1812705057	8
52	1812705059	40
53	1812706001	20
54	1812706003	17
55	1812706007	20
